年份,学校代码,学校名称,城市,地区类别,学科门类,总分要求,单科满分100,单科满分150,拟招生人数,数据来源
2018,10246,复旦大学,上海,一线城市,文学,409,60.0,89.07000000000001,49,模拟数据(基于历史趋势)
2018,10246,复旦大学,上海,一线城市,历史学,347,55.05,75.81,39,模拟数据(基于历史趋势)
2018,10246,复旦大学,上海,一线城市,理学,344,51.6,83.12,16,模拟数据(基于历史趋势)
2018,10246,复旦大学,上海,一线城市,工学,314,46.1,70.22,158,模拟数据(基于历史趋势)
2018,10246,复旦大学,上海,一线城市,农学,284,44.6,70.32000000000001,9,模拟数据(基于历史趋势)
2018,10246,复旦大学,上海,一线城市,医学,358,55.699999999999996,81.34,7,模拟数据(基于历史趋势)
2018,10246,复旦大学,上海,一线城市,军事学,297,42.55,65.31,65,模拟数据(基于历史趋势)
2018,10246,复旦大学,上海,一线城市,管理学,405,60.0,90.0,87,模拟数据(基于历史趋势)
2018,10246,复旦大学,上海,一线城市,艺术学,413,60.0,90.0,13,模拟数据(基于历史趋势)
2018,10246,复旦大学,上海,一线城市,交叉学科,360,57.0,85.8,16,模拟数据(基于历史趋势)
2018,10248,上海交通大学,上海,一线城市,哲学,352,55.8,85.96000000000001,26,模拟数据(基于历史趋势)
2018,10248,上海交通大学,上海,一线城市,经济学,420,60.0,90.0,166,模拟数据(基于历史趋势)
2018,10248,上海交通大学,上海,一线城市,法学,386,54.9,83.78,28,模拟数据(基于历史趋势)
2018,10248,上海交通大学,上海,一线城市,教育学,362,51.3,88.26,80,模拟数据(基于历史趋势)
2018,10248,上海交通大学,上海,一线城市,文学,414,59.099999999999994,90.0,20,模拟数据(基于历史趋势)
2018,10248,上海交通大学,上海,一线城市,历史学,360,55.0,79.8,26,模拟数据(基于历史趋势)
2018,10248,上海交通大学,上海,一线城市,理学,333,46.949999999999996,80.59,78,模拟数据(基于历史趋势)
2018,10248,上海交通大学,上海,一线城市,工学,304,42.6,68.92,62,模拟数据(基于历史趋势)
2018,10248,上海交通大学,上海,一线城市,农学,279,40.0,61.17,14,模拟数据(基于历史趋势)
2018,10248,上海交通大学,上海,一线城市,医学,351,51.65,76.73,80,模拟数据(基于历史趋势)
2018,10248,上海交通大学,上海,一线城市,军事学,297,41.55,63.31,37,模拟数据(基于历史趋势)
2018,10248,上海交通大学,上海,一线城市,管理学,411,58.65,90.0,120,模拟数据(基于历史趋势)
2018,10248,上海交通大学,上海,一线城市,艺术学,396,60.0,90.0,72,模拟数据(基于历史趋势)
2018,10248,上海交通大学,上海,一线城市,交叉学科,357,56.55,83.11,30,模拟数据(基于历史趋势)
2018,10247,同济大学,上海,一线城市,哲学,327,49.05,71.21000000000001,10,模拟数据(基于历史趋势)
2018,10247,同济大学,上海,一线城市,经济学,406,60.0,90.0,184,模拟数据(基于历史趋势)
2018,10247,同济大学,上海,一线城市,法学,361,52.15,88.03,24,模拟数据(基于历史趋势)
2018,10247,同济大学,上海,一线城市,教育学,366,51.9,83.18,58,模拟数据(基于历史趋势)
2018,10247,同济大学,上海,一线城市,文学,403,60.0,90.0,57,模拟数据(基于历史趋势)
2018,10247,同济大学,上海,一线城市,历史学,348,55.199999999999996,83.04,33,模拟数据(基于历史趋势)
2018,10247,同济大学,上海,一线城市,理学,341,53.15,74.43,7,模拟数据(基于历史趋势)
2018,10247,同济大学,上海,一线城市,工学,278,43.699999999999996,60.940000000000005,45,模拟数据(基于历史趋势)
2018,10247,同济大学,上海,一线城市,农学,289,43.35,71.47,48,模拟数据(基于历史趋势)
2018,10247,同济大学,上海,一线城市,医学,322,50.3,70.06,44,模拟数据(基于历史趋势)
2018,10247,同济大学,上海,一线城市,军事学,280,40.0,61.400000000000006,79,模拟数据(基于历史趋势)
2018,10247,同济大学,上海,一线城市,管理学,381,60.0,90.0,56,模拟数据(基于历史趋势)
2018,10247,同济大学,上海,一线城市,艺术学,400,57.0,90.0,31,模拟数据(基于历史趋势)
2018,10247,同济大学,上海,一线城市,交叉学科,328,50.199999999999996,79.44,71,模拟数据(基于历史趋势)
2018,10269,华东师范大学,上海,一线城市,哲学,337,52.55,76.51,42,模拟数据(基于历史趋势)
2018,10269,华东师范大学,上海,一线城市,经济学,414,60.0,90.0,110,模拟数据(基于历史趋势)
2018,10269,华东师范大学,上海,一线城市,法学,348,49.199999999999996,76.04,24,模拟数据(基于历史趋势)
2018,10269,华东师范大学,上海,一线城市,教育学,358,52.699999999999996,87.34,67,模拟数据(基于历史趋势)
2018,10269,华东师范大学,上海,一线城市,文学,408,59.199999999999996,88.84,52,模拟数据(基于历史趋势)
2018,10269,华东师范大学,上海,一线城市,历史学,353,55.949999999999996,82.19,71,模拟数据(基于历史趋势)
2018,10269,华东师范大学,上海,一线城市,理学,328,48.199999999999996,79.44,47,模拟数据(基于历史趋势)
2018,10269,华东师范大学,上海,一线城市,工学,303,43.449999999999996,73.69,138,模拟数据(基于历史趋势)
2018,10269,华东师范大学,上海,一线城市,农学,281,40.15,66.63000000000001,16,模拟数据(基于历史趋势)
2018,10269,华东师范大学,上海,一线城市,医学,326,49.9,72.98,53,模拟数据(基于历史趋势)
2018,10269,华东师范大学,上海,一线城市,军事学,274,40.0,61.02,52,模拟数据(基于历史趋势)
2018,10269,华东师范大学,上海,一线城市,管理学,385,60.0,88.55,187,模拟数据(基于历史趋势)
2018,10269,华东师范大学,上海,一线城市,艺术学,376,58.4,89.48,63,模拟数据(基于历史趋势)
2018,10269,华东师范大学,上海,一线城市,交叉学科,364,53.6,85.72,27,模拟数据(基于历史趋势)
2018,10284,南京大学,南京,新一线城市,哲学,335,50.25,79.05,11,模拟数据(基于历史趋势)
2018,10284,南京大学,南京,新一线城市,经济学,383,60.0,90.0,132,模拟数据(基于历史趋势)
2018,10284,南京大学,南京,新一线城市,法学,372,55.8,87.56,48,模拟数据(基于历史趋势)
2018,10284,南京大学,南京,新一线城市,教育学,352,51.8,80.96000000000001,73,模拟数据(基于历史趋势)
2018,10284,南京大学,南京,新一线城市,文学,368,52.199999999999996,81.64,30,模拟数据(基于历史趋势)
2018,10284,南京大学,南京,新一线城市,历史学,349,54.35,79.27000000000001,53,模拟数据(基于历史趋势)
2018,10284,南京大学,南京,新一线城市,理学,322,46.3,75.06,11,模拟数据(基于历史趋势)
2018,10284,南京大学,南京,新一线城市,工学,286,41.9,65.78,100,模拟数据(基于历史趋势)
2018,10284,南京大学,南京,新一线城市,农学,268,40.199999999999996,62.64,5,模拟数据(基于历史趋势)
2018,10284,南京大学,南京,新一线城市,医学,346,54.9,76.58,68,模拟数据(基于历史趋势)
2018,10284,南京大学,南京,新一线城市,军事学,283,43.449999999999996,64.09,11,模拟数据(基于历史趋势)
2018,10284,南京大学,南京,新一线城市,管理学,365,55.75,81.95,77,模拟数据(基于历史趋势)
2018,10284,南京大学,南京,新一线城市,艺术学,384,60.0,85.32000000000001,64,模拟数据(基于历史趋势)
2018,10284,南京大学,南京,新一线城市,交叉学科,336,48.4,73.28,51,模拟数据(基于历史趋势)
2018,10286,东南大学,南京,新一线城市,哲学,331,46.65,80.13000000000001,26,模拟数据(基于历史趋势)
2018,10286,东南大学,南京,新一线城市,经济学,385,57.75,88.55,180,模拟数据(基于历史趋势)
2018,10286,东南大学,南京,新一线城市,法学,343,53.449999999999996,76.89,79,模拟数据(基于历史趋势)
2018,10286,东南大学,南京,新一线城市,教育学,359,56.85,84.57000000000001,55,模拟数据(基于历史趋势)
2018,10286,东南大学,南京,新一线城市,文学,382,57.3,84.86,77,模拟数据(基于历史趋势)
2018,10286,东南大学,南京,新一线城市,历史学,346,48.9,81.58,31,模拟数据(基于历史趋势)
2018,10286,东南大学,南京,新一线城市,理学,304,47.6,70.92,16,模拟数据(基于历史趋势)
2018,10286,东南大学,南京,新一线城市,工学,288,45.199999999999996,70.24000000000001,83,模拟数据(基于历史趋势)
2018,10286,东南大学,南京,新一线城市,农学,261,42.15,60.0,41,模拟数据(基于历史趋势)
2018,10286,东南大学,南京,新一线城市,医学,342,51.3,75.66,77,模拟数据(基于历史趋势)
2018,10286,东南大学,南京,新一线城市,军事学,279,42.85,61.17,35,模拟数据(基于历史趋势)
2018,10286,东南大学,南京,新一线城市,管理学,374,57.1,90.0,128,模拟数据(基于历史趋势)
2018,10286,东南大学,南京,新一线城市,艺术学,391,55.65,86.93,65,模拟数据(基于历史趋势)
2018,10286,东南大学,南京,新一线城市,交叉学科,349,49.35,85.27000000000001,35,模拟数据(基于历史趋势)
2018,10335,浙江大学,杭州,新一线城市,哲学,324,51.6,73.52000000000001,13,模拟数据(基于历史趋势)
2018,10335,浙江大学,杭州,新一线城市,经济学,418,60.0,90.0,103,模拟数据(基于历史趋势)
2018,10335,浙江大学,杭州,新一线城市,法学,388,60.0,90.0,22,模拟数据(基于历史趋势)
2018,10335,浙江大学,杭州,新一线城市,教育学,373,54.949999999999996,86.79,38,模拟数据(基于历史趋势)
2018,10335,浙江大学,杭州,新一线城市,文学,407,60.0,90.0,52,模拟数据(基于历史趋势)
2018,10335,浙江大学,杭州,新一线城市,历史学,359,51.85,87.57000000000001,60,模拟数据(基于历史趋势)
2018,10335,浙江大学,杭州,新一线城市,理学,355,50.25,82.65,25,模拟数据(基于历史趋势)
2018,10335,浙江大学,杭州,新一线城市,工学,315,50.25,69.45,133,模拟数据(基于历史趋势)
2018,10335,浙江大学,杭州,新一线城市,农学,284,42.6,60.32000000000001,56,模拟数据(基于历史趋势)
2018,10335,浙江大学,杭州,新一线城市,医学,351,51.65,79.73,12,模拟数据(基于历史趋势)
2018,10335,浙江大学,杭州,新一线城市,军事学,313,49.949999999999996,75.99000000000001,15,模拟数据(基于历史趋势)
2018,10335,浙江大学,杭州,新一线城市,管理学,394,59.099999999999994,90.0,111,模拟数据(基于历史趋势)
2018,10335,浙江大学,杭州,新一线城市,艺术学,410,60.0,90.0,61,模拟数据(基于历史趋势)
2018,10335,浙江大学,杭州,新一线城市,交叉学科,360,53.0,84.8,39,模拟数据(基于历史趋势)
2018,10358,中国科学技术大学,合肥,新一线城市,哲学,341,54.15,80.43,78,模拟数据(基于历史趋势)
2018,10358,中国科学技术大学,合肥,新一线城市,经济学,400,57.0,89.0,179,模拟数据(基于历史趋势)
2018,10358,中国科学技术大学,合肥,新一线城市,法学,352,55.8,76.96000000000001,35,模拟数据(基于历史趋势)
2018,10358,中国科学技术大学,合肥,新一线城市,教育学,374,54.1,83.02000000000001,6,模拟数据(基于历史趋势)
2018,10358,中国科学技术大学,合肥,新一线城市,文学,404,60.0,90.0,33,模拟数据(基于历史趋势)
2018,10358,中国科学技术大学,合肥,新一线城市,历史学,342,51.3,80.66,33,模拟数据(基于历史趋势)
2018,10358,中国科学技术大学,合肥,新一线城市,理学,338,47.699999999999996,72.74000000000001,78,模拟数据(基于历史趋势)
2018,10358,中国科学技术大学,合肥,新一线城市,工学,289,45.35,64.47,174,模拟数据(基于历史趋势)
2018,10358,中国科学技术大学,合肥,新一线城市,农学,258,40.0,60.0,56,模拟数据(基于历史趋势)
2018,10358,中国科学技术大学,合肥,新一线城市,医学,350,51.5,77.5,42,模拟数据(基于历史趋势)
2018,10358,中国科学技术大学,合肥,新一线城市,军事学,264,40.6,60.0,55,模拟数据(基于历史趋势)
2018,10358,中国科学技术大学,合肥,新一线城市,管理学,390,57.5,90.0,197,模拟数据(基于历史趋势)
2018,10358,中国科学技术大学,合肥,新一线城市,艺术学,380,58.0,89.4,11,模拟数据(基于历史趋势)
2018,10358,中国科学技术大学,合肥,新一线城市,交叉学科,343,49.449999999999996,79.89,7,模拟数据(基于历史趋势)
2018,10422,山东大学,济南,新一线城市,哲学,333,47.949999999999996,79.59,33,模拟数据(基于历史趋势)
2018,10422,山东大学,济南,新一线城市,经济学,407,60.0,90.0,158,模拟数据(基于历史趋势)
2018,10422,山东大学,济南,新一线城市,法学,363,54.449999999999996,79.49000000000001,8,模拟数据(基于历史趋势)
2018,10422,山东大学,济南,新一线城市,教育学,356,54.4,85.88000000000001,46,模拟数据(基于历史趋势)
2018,10422,山东大学,济南,新一线城市,文学,402,59.3,90.0,58,模拟数据(基于历史趋势)
2018,10422,山东大学,济南,新一线城市,历史学,335,51.25,73.05,69,模拟数据(基于历史趋势)
2018,10422,山东大学,济南,新一线城市,理学,335,48.25,74.05,12,模拟数据(基于历史趋势)
2018,10422,山东大学,济南,新一线城市,工学,306,46.9,72.38000000000001,83,模拟数据(基于历史趋势)
2018,10422,山东大学,济南,新一线城市,农学,261,40.0,60.0,64,模拟数据(基于历史趋势)
2018,10422,山东大学,济南,新一线城市,医学,331,49.65,79.13000000000001,34,模拟数据(基于历史趋势)
2018,10422,山东大学,济南,新一线城市,军事学,279,40.0,66.17,42,模拟数据(基于历史趋势)
2018,10422,山东大学,济南,新一线城市,管理学,385,57.75,85.55,143,模拟数据(基于历史趋势)
2018,10422,山东大学,济南,新一线城市,艺术学,402,59.3,90.0,38,模拟数据(基于历史趋势)
2018,10422,山东大学,济南,新一线城市,交叉学科,350,50.5,76.5,79,模拟数据(基于历史趋势)
2018,10423,中国海洋大学,青岛,新一线城市,哲学,352,52.8,80.96000000000001,20,模拟数据(基于历史趋势)
2018,10423,中国海洋大学,青岛,新一线城市,经济学,398,60.0,90.0,56,模拟数据(基于历史趋势)
2018,10423,中国海洋大学,青岛,新一线城市,法学,367,53.05,87.41,12,模拟数据(基于历史趋势)
2018,10423,中国海洋大学,青岛,新一线城市,教育学,370,56.5,82.10000000000001,58,模拟数据(基于历史趋势)
2018,10423,中国海洋大学,青岛,新一线城市,文学,403,60.0,90.0,11,模拟数据(基于历史趋势)
2018,10423,中国海洋大学,青岛,新一线城市,历史学,335,53.25,77.05,46,模拟数据(基于历史趋势)
2018,10423,中国海洋大学,青岛,新一线城市,理学,318,50.699999999999996,76.14,45,模拟数据(基于历史趋势)
2018,10423,中国海洋大学,青岛,新一线城市,工学,275,40.25,60.25,83,模拟数据(基于历史趋势)
2018,10423,中国海洋大学,青岛,新一线城市,农学,290,45.5,69.7,47,模拟数据(基于历史趋势)
2018,10423,中国海洋大学,青岛,新一线城市,医学,330,50.5,71.9,46,模拟数据(基于历史趋势)
2018,10423,中国海洋大学,青岛,新一线城市,军事学,273,41.949999999999996,66.79,23,模拟数据(基于历史趋势)
2018,10423,中国海洋大学,青岛,新一线城市,管理学,388,60.0,85.24000000000001,156,模拟数据(基于历史趋势)
2018,10423,中国海洋大学,青岛,新一线城市,艺术学,364,57.6,83.72,24,模拟数据(基于历史趋势)
2018,10423,中国海洋大学,青岛,新一线城市,交叉学科,341,50.15,75.43,73,模拟数据(基于历史趋势)
2018,10486,武汉大学,武汉,新一线城市,哲学,329,52.35,75.67,23,模拟数据(基于历史趋势)
2018,10486,武汉大学,武汉,新一线城市,经济学,397,58.55,89.31,99,模拟数据(基于历史趋势)
2018,10486,武汉大学,武汉,新一线城市,法学,347,50.05,81.81,33,模拟数据(基于历史趋势)
2018,10486,武汉大学,武汉,新一线城市,教育学,345,52.75,76.35000000000001,31,模拟数据(基于历史趋势)
2018,10486,武汉大学,武汉,新一线城市,文学,378,58.699999999999996,88.94,69,模拟数据(基于历史趋势)
2018,10486,武汉大学,武汉,新一线城市,历史学,347,55.05,78.81,16,模拟数据(基于历史趋势)
2018,10486,武汉大学,武汉,新一线城市,理学,326,50.9,70.98,32,模拟数据(基于历史趋势)
2018,10486,武汉大学,武汉,新一线城市,工学,293,44.949999999999996,67.39,100,模拟数据(基于历史趋势)
2018,10486,武汉大学,武汉,新一线城市,农学,278,41.699999999999996,65.94,77,模拟数据(基于历史趋势)
2018,10486,武汉大学,武汉,新一线城市,医学,328,48.199999999999996,74.44,72,模拟数据(基于历史趋势)
2018,10486,武汉大学,武汉,新一线城市,军事学,289,44.35,61.47,39,模拟数据(基于历史趋势)
2018,10486,武汉大学,武汉,新一线城市,管理学,399,59.849999999999994,90.0,169,模拟数据(基于历史趋势)
2018,10486,武汉大学,武汉,新一线城市,艺术学,412,58.8,90.0,24,模拟数据(基于历史趋势)
2018,10486,武汉大学,武汉,新一线城市,交叉学科,337,47.55,72.51,22,模拟数据(基于历史趋势)
2018,10487,华中科技大学,武汉,新一线城市,哲学,319,46.85,76.37,9,模拟数据(基于历史趋势)
2018,10487,华中科技大学,武汉,新一线城市,经济学,405,57.75,90.0,53,模拟数据(基于历史趋势)
2018,10487,华中科技大学,武汉,新一线城市,法学,352,50.8,81.96000000000001,28,模拟数据(基于历史趋势)
2018,10487,华中科技大学,武汉,新一线城市,教育学,364,52.6,85.72,26,模拟数据(基于历史趋势)
2018,10487,华中科技大学,武汉,新一线城市,文学,405,60.0,90.0,62,模拟数据(基于历史趋势)
2018,10487,华中科技大学,武汉,新一线城市,历史学,334,50.1,75.82000000000001,14,模拟数据(基于历史趋势)
2018,10487,华中科技大学,武汉,新一线城市,理学,331,47.65,79.13000000000001,58,模拟数据(基于历史趋势)
