年份,学校代码,学校名称,城市,地区类别,学科门类,总分要求,单科满分100,单科满分150,拟招生人数,数据来源,学校层次,是否一线城市,学科热度
2018,10007,北京理工大学,北京,一线城市,经济学,420,60,90,95,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10007,北京理工大学,北京,一线城市,法学,386,56,85,65,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10007,北京理工大学,北京,一线城市,教育学,375,56,82,78,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10007,北京理工大学,北京,一线城市,文学,408,60,90,10,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10007,北京理工大学,北京,一线城市,历史学,341,51,77,64,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10007,北京理工大学,北京,一线城市,理学,322,50,76,17,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10007,北京理工大学,北京,一线城市,工学,304,47,74,53,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10007,北京理工大学,北京,一线城市,农学,264,40,60,8,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10007,北京理工大学,北京,一线城市,医学,354,55,80,45,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10007,北京理工大学,北京,一线城市,军事学,286,41,68,78,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10007,北京理工大学,北京,一线城市,管理学,390,60,90,193,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10007,北京理工大学,北京,一线城市,艺术学,383,55,87,44,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10007,北京理工大学,北京,一线城市,交叉学科,358,56,84,11,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10027,北京师范大学,北京,一线城市,哲学,334,48,81,33,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10027,北京师范大学,北京,一线城市,经济学,413,60,90,75,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10027,北京师范大学,北京,一线城市,法学,348,55,78,54,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10027,北京师范大学,北京,一线城市,教育学,372,52,83,23,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10027,北京师范大学,北京,一线城市,文学,399,60,90,34,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10027,北京师范大学,北京,一线城市,历史学,346,49,75,11,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10027,北京师范大学,北京,一线城市,理学,339,48,73,39,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10027,北京师范大学,北京,一线城市,工学,299,46,73,67,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10027,北京师范大学,北京,一线城市,农学,276,43,68,49,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10027,北京师范大学,北京,一线城市,医学,317,49,67,60,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10027,北京师范大学,北京,一线城市,军事学,308,44,73,69,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10027,北京师范大学,北京,一线城市,管理学,384,54,88,195,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10027,北京师范大学,北京,一线城市,艺术学,397,57,86,33,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10027,北京师范大学,北京,一线城市,交叉学科,339,53,79,42,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10019,中国农业大学,北京,一线城市,哲学,336,47,78,23,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10019,中国农业大学,北京,一线城市,经济学,398,57,89,61,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10019,中国农业大学,北京,一线城市,法学,336,53,77,27,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10019,中国农业大学,北京,一线城市,教育学,369,58,79,48,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10019,中国农业大学,北京,一线城市,文学,415,60,90,68,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10019,中国农业大学,北京,一线城市,历史学,368,55,84,55,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10019,中国农业大学,北京,一线城市,理学,334,50,76,31,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10019,中国农业大学,北京,一线城市,工学,297,46,72,66,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10019,中国农业大学,北京,一线城市,农学,297,47,66,31,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10019,中国农业大学,北京,一线城市,医学,338,51,82,52,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10019,中国农业大学,北京,一线城市,军事学,304,45,65,72,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10019,中国农业大学,北京,一线城市,管理学,393,55,90,113,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10019,中国农业大学,北京,一线城市,艺术学,413,60,90,7,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10019,中国农业大学,北京,一线城市,交叉学科,350,50,82,39,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10246,复旦大学,上海,一线城市,哲学,328,48,76,22,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10246,复旦大学,上海,一线城市,经济学,420,60,90,44,模拟数据(基于历史趋势),TOP5,一线城市,热门学科
2018,10246,复旦大学,上海,一线城市,法学,365,52,82,17,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10246,复旦大学,上海,一线城市,教育学,393,58,85,16,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10246,复旦大学,上海,一线城市,文学,409,60,89,49,模拟数据(基于历史趋势),TOP5,一线城市,热门学科
2018,10246,复旦大学,上海,一线城市,历史学,347,55,75,39,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10246,复旦大学,上海,一线城市,理学,344,51,83,16,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10246,复旦大学,上海,一线城市,工学,314,46,70,158,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10246,复旦大学,上海,一线城市,农学,284,44,70,9,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10246,复旦大学,上海,一线城市,医学,358,55,81,7,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10246,复旦大学,上海,一线城市,军事学,297,42,65,65,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10246,复旦大学,上海,一线城市,管理学,405,60,90,87,模拟数据(基于历史趋势),TOP5,一线城市,热门学科
2018,10246,复旦大学,上海,一线城市,艺术学,413,60,90,13,模拟数据(基于历史趋势),TOP5,一线城市,热门学科
2018,10246,复旦大学,上海,一线城市,交叉学科,360,57,85,16,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10248,上海交通大学,上海,一线城市,哲学,352,55,85,26,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10248,上海交通大学,上海,一线城市,经济学,420,60,90,166,模拟数据(基于历史趋势),TOP5,一线城市,热门学科
2018,10248,上海交通大学,上海,一线城市,法学,386,54,83,28,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10248,上海交通大学,上海,一线城市,教育学,362,51,88,80,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10248,上海交通大学,上海,一线城市,文学,414,59,90,20,模拟数据(基于历史趋势),TOP5,一线城市,热门学科
2018,10248,上海交通大学,上海,一线城市,历史学,360,55,79,26,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10248,上海交通大学,上海,一线城市,理学,333,46,80,78,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10248,上海交通大学,上海,一线城市,工学,304,42,68,62,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10248,上海交通大学,上海,一线城市,农学,279,40,61,14,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10248,上海交通大学,上海,一线城市,医学,351,51,76,80,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10248,上海交通大学,上海,一线城市,军事学,297,41,63,37,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10248,上海交通大学,上海,一线城市,管理学,411,58,90,120,模拟数据(基于历史趋势),TOP5,一线城市,热门学科
2018,10248,上海交通大学,上海,一线城市,艺术学,396,60,90,72,模拟数据(基于历史趋势),TOP5,一线城市,热门学科
2018,10248,上海交通大学,上海,一线城市,交叉学科,357,56,83,30,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10247,同济大学,上海,一线城市,哲学,327,49,71,10,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10247,同济大学,上海,一线城市,经济学,406,60,90,184,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10247,同济大学,上海,一线城市,法学,361,52,88,24,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10247,同济大学,上海,一线城市,教育学,366,51,83,58,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10247,同济大学,上海,一线城市,文学,403,60,90,57,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10247,同济大学,上海,一线城市,历史学,348,55,83,33,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10247,同济大学,上海,一线城市,理学,341,53,74,7,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10247,同济大学,上海,一线城市,工学,278,43,60,45,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10247,同济大学,上海,一线城市,农学,289,43,71,48,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10247,同济大学,上海,一线城市,医学,322,50,70,44,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10247,同济大学,上海,一线城市,军事学,280,40,61,79,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10247,同济大学,上海,一线城市,管理学,381,60,90,56,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10247,同济大学,上海,一线城市,艺术学,400,57,90,31,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10247,同济大学,上海,一线城市,交叉学科,328,50,79,71,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10269,华东师范大学,上海,一线城市,哲学,337,52,76,42,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10269,华东师范大学,上海,一线城市,经济学,414,60,90,110,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10269,华东师范大学,上海,一线城市,法学,348,49,76,24,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10269,华东师范大学,上海,一线城市,教育学,358,52,87,67,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10269,华东师范大学,上海,一线城市,文学,408,59,88,52,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10269,华东师范大学,上海,一线城市,历史学,353,55,82,71,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10269,华东师范大学,上海,一线城市,理学,328,48,79,47,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10269,华东师范大学,上海,一线城市,工学,303,43,73,138,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10269,华东师范大学,上海,一线城市,农学,281,40,66,16,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10269,华东师范大学,上海,一线城市,医学,326,49,72,53,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10269,华东师范大学,上海,一线城市,军事学,274,40,61,52,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10269,华东师范大学,上海,一线城市,管理学,385,60,88,187,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10269,华东师范大学,上海,一线城市,艺术学,376,58,89,63,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10269,华东师范大学,上海,一线城市,交叉学科,364,53,85,27,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10284,南京大学,南京,新一线城市,哲学,335,50,79,11,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10284,南京大学,南京,新一线城市,经济学,383,60,90,132,模拟数据(基于历史趋势),其他自划线高校,非一线城市,热门学科
2018,10284,南京大学,南京,新一线城市,法学,372,55,87,48,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10284,南京大学,南京,新一线城市,教育学,352,51,80,73,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10284,南京大学,南京,新一线城市,文学,368,52,81,30,模拟数据(基于历史趋势),其他自划线高校,非一线城市,热门学科
2018,10284,南京大学,南京,新一线城市,历史学,349,54,79,53,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10284,南京大学,南京,新一线城市,理学,322,46,75,11,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10284,南京大学,南京,新一线城市,工学,286,41,65,100,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10284,南京大学,南京,新一线城市,农学,268,40,62,5,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10284,南京大学,南京,新一线城市,医学,346,54,76,68,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10284,南京大学,南京,新一线城市,军事学,283,43,64,11,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10284,南京大学,南京,新一线城市,管理学,365,55,81,77,模拟数据(基于历史趋势),其他自划线高校,非一线城市,热门学科
2018,10284,南京大学,南京,新一线城市,艺术学,384,60,85,64,模拟数据(基于历史趋势),其他自划线高校,非一线城市,热门学科
2018,10284,南京大学,南京,新一线城市,交叉学科,336,48,73,51,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10286,东南大学,南京,新一线城市,哲学,331,46,80,26,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10286,东南大学,南京,新一线城市,经济学,385,57,88,180,模拟数据(基于历史趋势),其他自划线高校,非一线城市,热门学科
2018,10286,东南大学,南京,新一线城市,法学,343,53,76,79,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10286,东南大学,南京,新一线城市,教育学,359,56,84,55,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10286,东南大学,南京,新一线城市,文学,382,57,84,77,模拟数据(基于历史趋势),其他自划线高校,非一线城市,热门学科
2018,10286,东南大学,南京,新一线城市,历史学,346,48,81,31,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10286,东南大学,南京,新一线城市,理学,304,47,70,16,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10286,东南大学,南京,新一线城市,工学,288,45,70,83,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10286,东南大学,南京,新一线城市,农学,261,42,60,41,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10286,东南大学,南京,新一线城市,医学,342,51,75,77,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10286,东南大学,南京,新一线城市,军事学,279,42,61,35,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10286,东南大学,南京,新一线城市,管理学,374,57,90,128,模拟数据(基于历史趋势),其他自划线高校,非一线城市,热门学科
2018,10286,东南大学,南京,新一线城市,艺术学,391,55,86,65,模拟数据(基于历史趋势),其他自划线高校,非一线城市,热门学科
2018,10286,东南大学,南京,新一线城市,交叉学科,349,49,85,35,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10335,浙江大学,杭州,新一线城市,哲学,324,51,73,13,模拟数据(基于历史趋势),TOP5,非一线城市,一般学科
2018,10335,浙江大学,杭州,新一线城市,经济学,418,60,90,103,模拟数据(基于历史趋势),TOP5,非一线城市,热门学科
2018,10335,浙江大学,杭州,新一线城市,法学,388,60,90,22,模拟数据(基于历史趋势),TOP5,非一线城市,一般学科
2018,10335,浙江大学,杭州,新一线城市,教育学,373,54,86,38,模拟数据(基于历史趋势),TOP5,非一线城市,一般学科
2018,10335,浙江大学,杭州,新一线城市,文学,407,60,90,52,模拟数据(基于历史趋势),TOP5,非一线城市,热门学科
2018,10335,浙江大学,杭州,新一线城市,历史学,359,51,87,60,模拟数据(基于历史趋势),TOP5,非一线城市,一般学科
2018,10335,浙江大学,杭州,新一线城市,理学,355,50,82,25,模拟数据(基于历史趋势),TOP5,非一线城市,一般学科
2018,10335,浙江大学,杭州,新一线城市,工学,315,50,69,133,模拟数据(基于历史趋势),TOP5,非一线城市,一般学科
2018,10335,浙江大学,杭州,新一线城市,农学,284,42,60,56,模拟数据(基于历史趋势),TOP5,非一线城市,一般学科
2018,10335,浙江大学,杭州,新一线城市,医学,351,51,79,12,模拟数据(基于历史趋势),TOP5,非一线城市,一般学科
2018,10335,浙江大学,杭州,新一线城市,军事学,313,49,75,15,模拟数据(基于历史趋势),TOP5,非一线城市,一般学科
2018,10335,浙江大学,杭州,新一线城市,管理学,394,59,90,111,模拟数据(基于历史趋势),TOP5,非一线城市,热门学科
2018,10335,浙江大学,杭州,新一线城市,艺术学,410,60,90,61,模拟数据(基于历史趋势),TOP5,非一线城市,热门学科
2018,10335,浙江大学,杭州,新一线城市,交叉学科,360,53,84,39,模拟数据(基于历史趋势),TOP5,非一线城市,一般学科
2018,10358,中国科学技术大学,合肥,新一线城市,哲学,341,54,80,78,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10358,中国科学技术大学,合肥,新一线城市,经济学,400,57,89,179,模拟数据(基于历史趋势),其他自划线高校,非一线城市,热门学科
2018,10358,中国科学技术大学,合肥,新一线城市,法学,352,55,76,35,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10358,中国科学技术大学,合肥,新一线城市,教育学,374,54,83,6,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10358,中国科学技术大学,合肥,新一线城市,文学,404,60,90,33,模拟数据(基于历史趋势),其他自划线高校,非一线城市,热门学科
2018,10358,中国科学技术大学,合肥,新一线城市,历史学,342,51,80,33,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10358,中国科学技术大学,合肥,新一线城市,理学,338,47,72,78,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10358,中国科学技术大学,合肥,新一线城市,工学,289,45,64,174,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10358,中国科学技术大学,合肥,新一线城市,农学,258,40,60,56,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10358,中国科学技术大学,合肥,新一线城市,医学,350,51,77,42,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10358,中国科学技术大学,合肥,新一线城市,军事学,264,40,60,55,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10358,中国科学技术大学,合肥,新一线城市,管理学,390,57,90,197,模拟数据(基于历史趋势),其他自划线高校,非一线城市,热门学科
2018,10358,中国科学技术大学,合肥,新一线城市,艺术学,380,58,89,11,模拟数据(基于历史趋势),其他自划线高校,非一线城市,热门学科
2018,10358,中国科学技术大学,合肥,新一线城市,交叉学科,343,49,79,7,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10422,山东大学,济南,新一线城市,哲学,333,47,79,33,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10422,山东大学,济南,新一线城市,经济学,407,60,90,158,模拟数据(基于历史趋势),其他自划线高校,非一线城市,热门学科
2018,10422,山东大学,济南,新一线城市,法学,363,54,79,8,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10422,山东大学,济南,新一线城市,教育学,356,54,85,46,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
2018,10422,山东大学,济南,新一线城市,文学,402,59,90,58,模拟数据(基于历史趋势),其他自划线高校,非一线城市,热门学科
2018,10422,山东大学,济南,新一线城市,历史学,335,51,73,69,模拟数据(基于历史趋势),其他自划线高校,非一线城市,一般学科
